# ===== Simulation Performance =====
# wall_clock_time,56.286468
# physics_time,40.005000
# real_time_factor,0.710739
# control_time,0.005990
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1
12.175000000000503,12.180000000000504,4.494311911296305e-05,"[0.11541049184621383, 0.0, 0.03670076365447557]","[0.11541004605438106, 0.0, 0.036852626141088085]",0.00015186314092134075,-0.1696776942355524,-0.020182625905697183
12.200000000000507,12.205000000000508,4.550064406002625e-05,"[0.11586669518591362, 0.0, 0.03680984787580631]","[0.11586361814614624, 0.0, 0.036962759620137675]",0.00015294270080063032,-0.1700378534384681,-0.020713484060744858
12.225000000000511,12.230000000000512,4.5943861979090966e-05,"[0.11632435357096337, 0.0, 0.0369229629118257]","[0.11631876675958457, 0.0, 0.03707669385715792]",0.00015383242835670342,-0.17040248583562728,-0.021242770503729094
12.250000000000515,12.255000000000516,4.626384955094346e-05,"[0.11678343415780967, 0.0, 0.03704010753774844]","[0.11677546381898563, 0.0, 0.037194421824148366]",0.00015451998345873875,-0.17077158995308753,-0.02177042889400142
12.275000000000519,12.28000000000052,4.6452266378430275e-05,"[0.11724390425081163, 0.0, 0.037161280413465184]","[0.1172336811531236, 0.0, 0.03731593625909349]",0.0001549933621589831,-0.17114516574000482,-0.022296400926171002
12.300000000000523,12.305000000000524,4.650144231554944e-05,"[0.11770573130477209, 0.0, 0.03728648008500449]","[0.11769339049699487, 0.0, 0.037441229666410586]",0.00015524087245939828,-0.1715232146792625,-0.02282062618106359
12.325000000000527,12.330000000000528,4.640446648276515e-05,"[0.11816888292785094, 0.0, 0.037415704986420745]","[0.11815456349356171, 0.0, 0.037570294317412045]",0.00015525111096124683,-0.17190573990978408,-0.023343041970860616
12.35000000000053,12.355000000000532,4.615527790216874e-05,"[0.11863332688521905, 0.0, 0.037548953442292574]","[0.11861717169550134, 0.0, 0.03770312225078229]",0.0001550129403177479,-0.1722927463597999,-0.023863583178727863
12.375000000000535,12.380000000000535,4.5748757739068434e-05,"[0.11909903110377373, 0.0, 0.03768622367099794]","[0.11908118656696084, 0.0, 0.03783970527306868]",0.00015451546740785125,-0.17268424088709977,-0.024382182092235447
12.400000000000539,12.40500000000054,4.5180823185898276e-05,"[0.11956596367816995, 0.0, 0.03782751378890025]","[0.1195465794853172, 0.0, 0.03798003495918709]",0.00015374802216034655,-0.17308023242916346,-0.024898768231836805
12.425000000000542,12.430000000000543,4.444852306696641e-05,"[0.12003409287836075, 0.0, 0.03797282181554983]","[0.12001332174294296, 0.0, 0.038124102652941416]",0.0001527001369627509,-0.17348073215766757,-0.025413268173541285
